AÑO,MES,Fecha,Tipo día,GRAN BS.AS.,BUENOS AIRES,CENTRO,LITORAL,CUYO,NOROESTE,NORESTE,COMAHUE,PATAGONICA,DEMANDA TOTAL,TEMPERATURA REFERENCIA MEDIA GBA °C
2018,2018-04-01,2018-04-27,Viernes habiles,6041.491458333334,1804.9409166666667,1354.6376666666667,2153.1375000000003,873.6603749999999,1383.1741666666667,1256.3322916666666,576.1348333333334,653.59875,16097.107958333332,27.65
2018,2018-04-01,2018-04-28,Sabado o Semilaborable,4930.479916666666,1686.5395833333332,1162.1326666666666,1942.0517916666668,807.1522916666667,1338.6618333333333,1255.8752916666667,543.4649583333334,641.0925,14307.450833333334,21.299999999999997
2018,2018-04-01,2018-04-29,Domingo o Feriado,4318.026708333334,1494.0034166666667,1041.9959999999999,1662.639875,740.4716666666667,1259.246125,1228.6910416666667,509.5132083333333,631.8841666666666,12886.472208333334,19.75
2018,2018-04-01,2018-04-30,Domingo o Feriado,4689.894958333333,1623.4938333333332,1136.5234583333333,1726.3318333333334,798.0445,1292.463,1299.892625,533.9224583333333,642.67025,13743.236916666665,19.6
2018,2018-05-01,2018-05-01,Domingo o Feriado,4295.056375,1341.4893333333332,1010.505,1313.3689166666666,721.2087083333332,1091.8732916666665,1165.2687916666666,518.9652916666666,626.6205416666667,12084.35625,15.55
2018,2018-05-01,2018-05-02,Miercoles habiles,5356.078291666667,1611.581125,1248.78325,1676.137625,820.6642916666666,1232.5227083333332,1327.32525,576.7832083333334,651.73875,14501.6145,17.450000000000003
2018,2018-05-01,2018-05-03,Jueves Habiles,5298.415416666667,1701.662875,1269.9857916666667,1826.4039166666669,858.0154166666666,1274.7866666666666,1332.6355416666668,585.5874583333333,652.03875,14799.531833333333,19.1
2018,2018-05-01,2018-05-04,Viernes habiles,5314.418708333334,1738.0978750000002,1276.6811666666667,1820.8929583333331,864.5264999999999,1272.755125,1174.8305833333334,589.8507083333333,649.0270416666666,14701.080666666669,18.4
2018,2018-05-01,2018-05-05,Sabado o Semilaborable,4837.569291666667,1641.2429166666668,1126.8550833333334,1646.3481666666667,810.2802499999999,1161.4246666666666,976.8549583333333,565.7687083333334,634.5747083333333,13400.918749999999,18.25
2018,2018-05-01,2018-05-06,Domingo o Feriado,4403.667083333333,1461.6078333333335,1014.7140833333333,1481.9790416666667,748.8078333333333,1047.7992083333334,889.9807500000001,535.8460416666667,616.6092916666666,12201.011166666667,20.3
2018,2018-05-01,2018-05-07,Lunes habiles,5182.974208333333,1703.3071666666667,1235.013375,1814.7299999999998,820.3825416666667,1177.8265,1088.2414166666667,589.4056666666667,648.028625,14259.909499999998,20.9
2018,2018-05-01,2018-05-08,Martes Habiles,5392.684375,1732.8774999999998,1268.4704166666668,1819.9171666666668,839.9683333333334,1229.2980416666667,1117.2282083333332,592.3738333333333,644.9939166666667,14637.811791666667,20.299999999999997
2018,2018-05-01,2018-05-09,Miercoles habiles,5390.904583333334,1742.5950833333334,1288.3650416666667,1836.1100833333333,844.6416666666668,1215.784375,1119.5401666666667,590.9314166666667,637.4014166666667,14666.273833333333,19.799999999999997
2018,2018-05-01,2018-05-10,Jueves Habiles,5501.482791666666,1748.69925,1271.4787916666667,1820.0708750000001,820.8694583333332,1186.8805833333333,1018.9856249999999,588.64125,640.187125,14597.29575,18.55
2018,2018-05-01,2018-05-11,Viernes habiles,5365.115291666667,1778.0217916666668,1280.2317083333335,1770.3295,829.1478333333333,1134.8395416666667,887.1732083333333,583.9129583333333,644.498125,14273.269958333332,18.1
2018,2018-05-01,2018-05-12,Sabado o Semilaborable,4820.109125,1659.6656249999999,1117.1315416666666,1603.0846666666666,783.7803333333333,1074.3092916666667,819.1862500000001,555.4585833333333,641.3073333333333,13074.03275,17.0
2018,2018-05-01,2018-05-13,Domingo o Feriado,4501.948541666667,1468.8635833333335,1005.9189583333333,1478.4170833333335,728.9534583333334,991.93025,786.28275,528.2374166666667,632.949375,12123.501416666668,15.9
2018,2018-05-01,2018-05-14,Lunes habiles,5260.074083333334,1702.7112083333334,1228.2762916666668,1794.9847916666668,809.2315,1123.9470416666666,901.9801666666667,583.1270000000001,644.4672916666667,14048.799375,18.700000000000003
2018,2018-05-01,2018-05-15,Martes Habiles,5361.824666666666,1754.6179166666668,1298.5795416666667,1825.8908333333331,851.8689583333334,1176.1095833333334,935.3722916666667,594.046875,626.8722083333333,14425.182874999999,17.25
